iter	Passed	Remaining
0	141	13976
1	143	7023
2	144	4671
3	149	3582
4	150	2859
5	151	2376
6	153	2035
7	155	1784
8	157	1597
9	167	1507
10	168	1367
11	170	1250
12	172	1151
13	173	1066
14	175	992
15	177	929
16	179	876
17	181	824
18	183	780
19	184	739
20	186	702
21	188	667
22	189	635
23	194	615
24	195	587
25	197	561
26	198	537
27	200	515
28	202	495
29	204	476
30	209	466
31	211	449
32	212	432
33	214	415
34	215	400
35	217	386
36	218	372
37	220	359
38	226	354
39	227	341
40	229	329
41	230	318
42	232	307
43	233	297
44	235	287
45	237	278
46	239	270
47	240	261
48	242	252
49	243	243
50	245	235
51	246	227
52	248	220
53	249	212
54	255	208
55	257	202
56	258	195
57	260	188
58	262	182
59	263	175
60	264	169
61	267	163
62	269	158
63	270	152
64	271	146
65	273	140
66	275	135
67	278	130
68	279	125
69	285	122
70	287	117
71	289	112
72	291	107
73	293	103
74	295	98
75	298	94
76	300	89
77	301	85
78	303	80
79	306	76
80	308	72
81	309	67
82	310	63
83	315	60
84	316	55
85	317	51
86	319	47
87	320	43
88	322	39
89	323	35
90	324	32
91	328	28
92	330	24
93	331	21
94	333	17
95	334	13
96	336	10
97	338	6
98	339	3
99	344	0
