iter	Passed	Remaining
0	169	169478
1	174	87035
2	178	59183
3	190	47310
4	193	38482
5	201	33387
6	204	29064
7	208	25842
8	215	23737
9	218	21680
10	222	20003
11	230	18975
12	235	17865
13	238	16824
14	243	15989
15	247	15224
16	250	14486
17	253	13803
18	255	13196
19	257	12611
20	258	12067
21	260	11577
22	262	11134
23	263	10719
24	264	10334
25	267	10014
26	269	9700
27	270	9396
28	271	9104
29	273	8830
30	274	8572
31	275	8329
32	276	8116
33	278	7917
34	280	7728
35	282	7553
36	283	7378
37	285	7218
38	287	7073
39	288	6919
40	289	6773
41	290	6631
42	291	6498
43	294	6402
44	296	6294
45	298	6182
46	299	6073
47	300	5966
48	302	5862
49	303	5763
50	304	5669
51	305	5573
52	307	5485
53	309	5421
54	310	5342
55	312	5260
56	313	5181
57	314	5105
58	315	5031
59	317	4967
60	318	4903
61	320	4845
62	321	4788
63	325	4758
64	326	4697
65	327	4638
66	329	4583
67	330	4525
68	331	4469
69	332	4417
70	333	4365
71	335	4321
72	337	4283
73	340	4258
74	341	4212
75	342	4166
76	344	4127
77	345	4083
78	346	4043
79	347	4001
80	349	3960
81	350	3929
82	352	3892
83	353	3858
84	355	3824
85	356	3789
86	357	3755
87	358	3720
88	360	3685
89	361	3651
90	362	3617
91	363	3584
92	364	3555
93	367	3545
94	369	3515
95	370	3487
96	372	3464
97	373	3438
98	374	3412
99	376	3391
100	378	3368
101	380	3349
102	383	3336
103	386	3330
104	388	3309
105	389	3285
106	391	3264
107	392	3241
108	393	3217
109	395	3200
110	397	3182
111	399	3170
112	401	3148
113	402	3127
114	403	3106
115	404	3085
116	405	3061
117	407	3044
118	408	3027
119	410	3012
120	412	2997
121	413	2977
122	414	2958
123	416	2941
124	417	2921
125	418	2905
126	419	2884
127	420	2867
128	422	2851
129	423	2836
130	425	2824
131	427	2810
132	428	2794
133	429	2778
134	431	2767
135	433	2754
136	434	2738
137	435	2723
138	437	2707
139	438	2691
140	439	2676
141	441	2665
142	443	2656
143	446	2652
144	447	2637
145	448	2623
146	449	2608
147	451	2597
148	452	2586
149	454	2575
150	458	2575
151	460	2570
152	461	2557
153	463	2543
154	464	2530
155	465	2517
156	466	2504
157	467	2492
158	469	2482
159	472	2480
160	473	2469
161	476	2464
162	478	2456
163	479	2444
164	480	2432
165	481	2420
166	483	2410
167	484	2401
168	487	2395
169	488	2385
170	489	2374
171	491	2363
172	492	2353
173	493	2344
174	495	2336
